           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.58000000   390.91288852   326.38830796    -0.01581135   661.93830396   549.85672534    -0.04431104     0.00000112    -0.00000133     0.00016902    19.81900000     0.03730580     0.40452204  1977.88617240
     0.58500000   394.22207493   329.13704971    -0.01603321   661.73628181   549.63999605    -0.04443228     0.00000112    -0.00000133     0.00017058    19.81900000     0.03730335     0.40449523  1977.72262997
     0.59000000   397.53025158   331.88470815    -0.01625567   661.53440122   549.42339951    -0.04454925     0.00000112    -0.00000134     0.00017214    19.81900000     0.03730090     0.40446842  1977.55917294
     0.59500000   400.83741918   334.63128393    -0.01647870   661.33266204   549.20693557    -0.04466194     0.00000113    -0.00000134     0.00017370    19.81900000     0.03729845     0.40444161  1977.39580123
     0.60000000   404.14357843   337.37677772    -0.01670228   661.13106412   548.99060409    -0.04477038     0.00000113    -0.00000135     0.00017526    19.81900000     0.03729600     0.40441480  1977.23251479
     0.60500000   407.44873005   340.12119019    -0.01692640   660.92960731   548.77440494    -0.04487455     0.00000113    -0.00000135     0.00017682    19.81900000     0.03729355     0.40438799  1977.06931352
     0.61000000   410.75287474   342.86452199    -0.01715102   660.72829145   548.55833796    -0.04497447     0.00000114    -0.00000135     0.00017838    19.81900000     0.03729110     0.40436118  1976.90619737
     0.61500000   414.05601320   345.60677379    -0.01737613   660.52711640   548.34240303    -0.04507015     0.00000114    -0.00000136     0.00017995    19.81900000     0.03728865     0.40433437  1976.74316624
     0.62000000   417.35814614   348.34794624    -0.01760171   660.32608201   548.12659999    -0.04516157     0.00000114    -0.00000136     0.00018152    19.81900000     0.03728620     0.40430756  1976.58022007
     0.62500000   420.65927426   351.08804001    -0.01782774   660.12518812   547.91092871    -0.04524875     0.00000115    -0.00000136     0.00018309    19.81900000     0.03728375     0.40428075  1976.41735879
     0.63000000   423.95939825   353.82705575    -0.01805419   659.92443459   547.69538906    -0.04533170     0.00000115    -0.00000137     0.00018466    19.81900000     0.03728130     0.40425394  1976.25458231
     0.63500000   427.25851884   356.56499412    -0.01828105   659.72382127   547.47998088    -0.04541041     0.00000115    -0.00000137     0.00018623    19.81900000     0.03727885     0.40422713  1976.09189057
     0.64000000   430.55663670   359.30185578    -0.01850829   659.52334800   547.26470404    -0.04548489     0.00000115    -0.00000137     0.00018781    19.81900000     0.03727640     0.40420032  1975.92928350
     0.64500000   433.85375255   362.03764138    -0.01873589   659.32301464   547.04955840    -0.04555515     0.00000116    -0.00000137     0.00018938    19.81900000     0.03727395     0.40417351  1975.76676101
     0.65000000   437.14986708   364.77235158    -0.01896384   659.12282105   546.83454382    -0.04562119     0.00000116    -0.00000138     0.00019096    19.81900000     0.03727150     0.40414670  1975.60432304
     0.65500000   440.44498099   367.50598703    -0.01919210   658.92276706   546.61966017    -0.04568302     0.00000116    -0.00000138     0.00019254    19.81900000     0.03726905     0.40411989  1975.44196950
     0.66000000   443.73909498   370.23854840    -0.01942066   658.72285253   546.40490729    -0.04574063     0.00000116    -0.00000138     0.00019413    19.81900000     0.03726660     0.40409308  1975.27970034
     0.66500000   447.03220975   372.97003632    -0.01964950   658.52307732   546.19028506    -0.04579404     0.00000117    -0.00000138     0.00019571    19.81900000     0.03726415     0.40406627  1975.11751547
     0.67000000   450.32432599   375.70045147    -0.01987859   658.32344128   545.97579334    -0.04584324     0.00000117    -0.00000139     0.00019729    19.81900000     0.03726170     0.40403946  1974.95541482
     0.67500000   453.61544439   378.42979447    -0.02010792   658.12394426   545.76143198    -0.04588825     0.00000117    -0.00000139     0.00019888    19.81900000     0.03725925     0.40401265  1974.79339832
     0.68000000   456.90556566   381.15806600    -0.02033747   657.92458610   545.54720085    -0.04592906     0.00000117    -0.00000139     0.00020047    19.81900000     0.03725680     0.40398584  1974.63146589
     0.68500000   460.19469049   383.88526670    -0.02056721   657.72536667   545.33309982    -0.04596569     0.00000117    -0.00000139     0.00020206    19.81900000     0.03725435     0.40395903  1974.46961747
     0.69000000   463.48281956   386.61139722    -0.02079712   657.52628582   545.11912874    -0.04599812     0.00000117    -0.00000139     0.00020365    19.81900000     0.03725190     0.40393222  1974.30785297
     0.69500000   466.76995358   389.33645820    -0.02102718   657.32734339   544.90528747    -0.04602638     0.00000117    -0.00000139     0.00020525    19.81900000     0.03724945     0.40390541  1974.14617233
     0.70000000   470.05609322   392.06045031    -0.02125738   657.12853925   544.69157589    -0.04605046     0.00000118    -0.00000140     0.00020684    19.81900000     0.03724700     0.40387860  1973.98457548
     0.70500000   473.34123920   394.78337418    -0.02148768   656.92987325   544.47799385    -0.04607037     0.00000118    -0.00000140     0.00020844    19.81900000     0.03724455     0.40385179  1973.82306234
     0.71000000   476.62539219   397.50523046    -0.02171807   656.73134524   544.26454121    -0.04608610     0.00000118    -0.00000140     0.00021004    19.81900000     0.03724210     0.40382498  1973.66163283
     0.71500000   479.90855288   400.22601981    -0.02194853   656.53295507   544.05121784    -0.04609768     0.00000118    -0.00000140     0.00021164    19.81900000     0.03723965     0.40379817  1973.50028690
     0.72000000   483.19072197   402.94574286    -0.02217904   656.33470260   543.83802361    -0.04610509     0.00000118    -0.00000140     0.00021325    19.81900000     0.03723720     0.40377136  1973.33902445
     0.72500000   486.47190014   405.66440026    -0.02240958   656.13658768   543.62495837    -0.04610835     0.00000118    -0.00000140     0.00021485    19.81900000     0.03723475     0.40374455  1973.17784543
     0.73000000   489.75208807   408.38199265    -0.02264012   655.93861017   543.41202199    -0.04610746     0.00000118    -0.00000140     0.00021646    19.81900000     0.03723230     0.40371774  1973.01674976
